Email,Course,Rating
Isabella0008@gmail.com,Engr034,5
Thomas0045@pku.edu.cn,Engr007,3
Alice0104@gmail.com,Chin105,4
Nathan0117@pku.edu.cn,Chin105,3
Grace0058@hotmail.com,Math173,2
Eve0160@gmail.com,Math044,3
Alice0182@hotmail.com,Math185,3
Carol0132@gmail.com,Math029,2
Alice0182@hotmail.com,Math161,3
Bob0027@thu.edu.cn,Math002,4
Alice0182@hotmail.com,Engr070,4
Francis0057@pku.edu.cn,Chin162,4
Richard0043@thu.edu.cn,Math011,4
Nathan0117@pku.edu.cn,Engr010,3
Eve0134@hotmail.com,Math047,4
Olivia0170@hotmail.com,Chin150,3
Margraret0064@gmail.com,Engr112,3
Carol0028@gmail.com,Math095,2
Thomas0045@pku.edu.cn,Engr019,4
Zach0051@thu.edu.cn,Chin093,3
Margraret0064@gmail.com,Chin048,3
Grace0032@gmail.com,Math095,3
Grace0136@gmail.com,Engr163,1
Nathan0117@pku.edu.cn,Math026,4
Francis0187@thu.edu.cn,Engr016,4
Uma0124@gmail.com,Math110,3
Vivian0177@pku.edu.cn,Chin039,4
Zach0181@pku.edu.cn,Chin168,3
Richard0095@thu.edu.cn,Math122,3
Xander0179@thu.edu.cn,Math032,4
Alice0156@gmail.com,Engr001,4
Yasmine0102@hotmail.com,Math047,5
Paul0171@thu.edu.cn,Math176,5
Kate0140@gmail.com,Math161,4
Jason0191@thu.edu.cn,Math050,5
Richard0121@pku.edu.cn,Engr019,2
Dave0185@pku.edu.cn,Engr001,4
Francis0135@thu.edu.cn,Engr001,4
Grace0058@hotmail.com,Math062,3
Grace0006@hotmail.com,Engr043,4
Queen0068@gmail.com,Chin006,4
Thomas0045@pku.edu.cn,Math185,3
Alice0104@gmail.com,Chin087,3
Eve0134@hotmail.com,Engr001,3
Grace0110@hotmail.com,Math110,3
Francis0005@pku.edu.cn,Chin153,3
Margraret0142@hotmail.com,Chin150,5
Uma0150@hotmail.com,Engr007,3
Alice0182@hotmail.com,Engr076,3
Zach0103@thu.edu.cn,Math002,4
Louis0089@pku.edu.cn,Engr001,3
Susan0174@hotmail.com,Math032,3
