City,FutureMajor,Country,SchoolType,Grade,Email,English,Japanese,Coding
shanghai,Philosophy,United States,University,9,Alice0000@gmail.com,TRUE,TRUE,TRUE
beijing,Archaeology,Canada,International high school,10,Bob0001@pku.edu.cn,TRUE,TRUE,TRUE
shanxi,Architecture,Japan,Normal high school,11,Carol0002@hotmail.com,TRUE,TRUE,TRUE
suzhou,Mathematics,United States,University,12,Dave0003@thu.edu.cn,TRUE,FALSE,FALSE
shanghai,Computer Science,Canada,International high school,Freshman,Eve0004@gmail.com,TRUE,TRUE,TRUE
beijing,Economy,Japan,Normal high school,Sophomore,Francis0005@pku.edu.cn,FALSE,FALSE,TRUE
shanxi,Sociology,United States,University,Junior,Grace0006@hotmail.com,TRUE,TRUE,TRUE
suzhou,Philosophy,Canada,International high school,Senior,Hans0007@thu.edu.cn,TRUE,FALSE,FALSE
shanghai,Archaeology,Japan,Normal high school,9,Isabella0008@gmail.com,TRUE,TRUE,TRUE
beijing,Architecture,United States,University,10,Jason0009@pku.edu.cn,TRUE,FALSE,FALSE
shanxi,Mathematics,Canada,International high school,11,Kate0010@hotmail.com,TRUE,TRUE,TRUE
suzhou,Computer Science,Japan,Normal high school,12,Louis0011@thu.edu.cn,TRUE,FALSE,TRUE
shanghai,Economy,United States,University,Freshman,Margraret0012@gmail.com,TRUE,TRUE,TRUE
beijing,Sociology,Canada,International high school,Sophomore,Nathan0013@pku.edu.cn,TRUE,FALSE,FALSE
shanxi,Philosophy,Japan,Normal high school,Junior,Olivia0014@hotmail.com,TRUE,FALSE,TRUE
suzhou,Archaeology,United States,University,Senior,Paul0015@thu.edu.cn,TRUE,FALSE,FALSE
shanghai,Architecture,Canada,International high school,9,Queen0016@gmail.com,TRUE,TRUE,TRUE
beijing,Mathematics,Japan,Normal high school,10,Richard0017@pku.edu.cn,TRUE,FALSE,FALSE
shanxi,Computer Science,United States,University,11,Susan0018@hotmail.com,TRUE,FALSE,TRUE
suzhou,Economy,Canada,International high school,12,Thomas0019@thu.edu.cn,FALSE,FALSE,TRUE
shanghai,Sociology,Japan,Normal high school,Freshman,Uma0020@gmail.com,TRUE,TRUE,TRUE
beijing,Philosophy,United States,University,Sophomore,Vivian0021@pku.edu.cn,TRUE,TRUE,TRUE
shanxi,Archaeology,Canada,International high school,Junior,Winnie0022@hotmail.com,TRUE,TRUE,TRUE
suzhou,Architecture,Japan,Normal high school,Senior,Xander0023@thu.edu.cn,TRUE,FALSE,FALSE
shanghai,Mathematics,United States,University,9,Yasmine0024@gmail.com,TRUE,TRUE,TRUE
beijing,Computer Science,Canada,International high school,10,Zach0025@pku.edu.cn,TRUE,FALSE,FALSE
shanxi,Economy,Japan,Normal high school,11,Alice0026@hotmail.com,TRUE,TRUE,TRUE
suzhou,Sociology,United States,University,12,Bob0027@thu.edu.cn,FALSE,TRUE,TRUE
shanghai,Philosophy,Canada,International high school,Freshman,Carol0028@gmail.com,TRUE,TRUE,TRUE
beijing,Archaeology,Japan,Normal high school,Sophomore,Dave0029@pku.edu.cn,TRUE,FALSE,TRUE
shanxi,Architecture,United States,University,Junior,Eve0030@hotmail.com,TRUE,FALSE,TRUE
suzhou,Mathematics,Canada,International high school,Senior,Francis0031@thu.edu.cn,FALSE,FALSE,TRUE
shanghai,Computer Science,Japan,Normal high school,9,Grace0032@gmail.com,TRUE,TRUE,TRUE
beijing,Economy,United States,University,10,Hans0033@pku.edu.cn,FALSE,TRUE,FALSE
shanxi,Sociology,Canada,International high school,11,Isabella0034@hotmail.com,TRUE,TRUE,TRUE
suzhou,Philosophy,Japan,Normal high school,12,Jason0035@thu.edu.cn,TRUE,FALSE,TRUE
shanghai,Archaeology,United States,University,Freshman,Kate0036@gmail.com,TRUE,TRUE,TRUE
beijing,Architecture,Canada,International high school,Sophomore,Louis0037@pku.edu.cn,FALSE,TRUE,TRUE
shanxi,Mathematics,Japan,Normal high school,Junior,Margraret0038@hotmail.com,TRUE,FALSE,TRUE
suzhou,Computer Science,United States,University,Senior,Nathan0039@thu.edu.cn,FALSE,FALSE,TRUE
shanghai,Economy,Canada,International high school,9,Olivia0040@gmail.com,TRUE,TRUE,TRUE
beijing,Sociology,Japan,Normal high school,10,Paul0041@pku.edu.cn,TRUE,FALSE,FALSE
shanxi,Philosophy,United States,University,11,Queen0042@hotmail.com,TRUE,TRUE,TRUE
suzhou,Archaeology,Canada,International high school,12,Richard0043@thu.edu.cn,TRUE,FALSE,TRUE
shanghai,Architecture,Japan,Normal high school,Freshman,Susan0044@gmail.com,TRUE,TRUE,TRUE
beijing,Mathematics,United States,University,Sophomore,Thomas0045@pku.edu.cn,TRUE,FALSE,FALSE
shanxi,Computer Science,Canada,International high school,Junior,Uma0046@hotmail.com,TRUE,FALSE,TRUE
suzhou,Economy,Japan,Normal high school,Senior,Vivian0047@thu.edu.cn,FALSE,FALSE,FALSE
shanghai,Sociology,United States,University,9,Winnie0048@gmail.com,TRUE,TRUE,TRUE
beijing,Philosophy,Canada,International high school,10,Xander0049@pku.edu.cn,TRUE,TRUE,TRUE
shanxi,Archaeology,Japan,Normal high school,11,Yasmine0050@hotmail.com,TRUE,TRUE,TRUE
suzhou,Architecture,United States,University,12,Zach0051@thu.edu.cn,TRUE,FALSE,TRUE
shanghai,Mathematics,Canada,International high school,Freshman,Alice0052@gmail.com,TRUE,TRUE,TRUE
beijing,Computer Science,Japan,Normal high school,Sophomore,Bob0053@pku.edu.cn,FALSE,FALSE,FALSE
shanxi,Economy,United States,University,Junior,Carol0054@hotmail.com,TRUE,FALSE,TRUE
suzhou,Sociology,Canada,International high school,Senior,Dave0055@thu.edu.cn,FALSE,TRUE,FALSE
shanghai,Philosophy,Japan,Normal high school,9,Eve0056@gmail.com,TRUE,TRUE,TRUE
beijing,Archaeology,United States,University,10,Francis0057@pku.edu.cn,TRUE,FALSE,TRUE
shanxi,Architecture,Canada,International high school,11,Grace0058@hotmail.com,TRUE,FALSE,TRUE
